category,filename,classification_basis
Pervasive Computing and Robust Sensing,2014_CIKM_Exploring Tag-Free RFID-Based Passive Localization and Tracking via Learning-Based Probabilistic Approaches.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2014_JPC_A modeling and control approach to magnetic levitation system based on state-dependent ARX model.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2014_MobiQuitous_TagTrack Device-Free Localization and Tracking Using Passive RFID Tags.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2015_CNIPA_一种磁悬浮球位置控制方法.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2015_ICDM_Freedom Online Activity Recognition via Dictionary-Based Sparse Representation of RFID Sensing Data.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2015_ICPADS_Unobtrusive Posture Recognition via Online Learning of Multi-dimensional RFID Received Signal Strength.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2015_MobiQuitous_RF-Care Device-Free Posture Recognition for Elderly People Using a Passive RFID Tag Array.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2015_MobiQuitous_TagFall Towards Unobstructive Fine-Grained Fall Detection Based on UHF Passive RFID Tags.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2016_ADMA_Recognizing Daily Living Activity Using Embedded Sensors in Smartphones A Data-Driven Approach.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2016_JCSU_基于线性函数型权重的RBF-ARX模型的磁悬浮球系统预测控制.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2016_PerCom_HOI-Loc Towards Unobstructive Human Localization with Probabilistic Multi-Sensor Fusion.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2016_PerCom_PreventDark Automatically Detecting and Preventing Problematic Use of Smartphones in Darkness.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2016_PerCom_Unobtrusive Human Localization and Activity Recognition for Supporting Independent Living of the Elderly.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2016_UbiComp_AudioGest Enabling Fine-Grained Hand Gesture Detection by Decoding Echo Signal.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2016_WoWMoM_Device-Free Indoor Localization and Tracking Through Human-Object Interactions.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2017_NCA_Cubic-RBF-ARX modeling and model-based optimal setting control in head and tail stages of cut tobacco drying process.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2018_IEEE-TMC_Compressive Representation for Device-Free Activity Recognition with Passive RFID Signal Strength.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2018_IEEE-TMC_Making Sense of Doppler Effect for Multi-Modal Hand Motion Detection.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2018_JNCA_Device-free human localization and tracking with UHF passive RFID tags A data-driven approach.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Pervasive Computing and Robust Sensing,2019_IROS_Gaze-Based Intention Anticipation over Driving Manoeuvres in Semi-Autonomous Vehicles.pdf,"Pervasive/mobile computing, RFID and acoustic sensing, localization, activity recognition, autonomous sensing, and robust control."
Robust Data Analytics,2015_ICWS_Service Recommendation for Mashup Composition with Implicit Correlation Regularization.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2016_CIKM_Forecasting Seasonal Time Series Using Weighted Gradient RBF Network Based Autoregressive Model.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2016_CIKM_When Sensor Meets Tensor Filling Missing Sensor Values Through a Tensor Approach.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2017_ASSRI_Toward Unified Cloud Service Discovery for Enhanced Service Identification.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
Robust Data Analytics,2017_DASFAA_Recovering Missing Values from Corrupted Spatio-Temporal Sensory Data via Robust Low-Rank Tensor Completion.pdf,"Robust data completion, forecasting, recommendation, healthcare analytics, duplicate detection, and knowledge transfer."
